"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Hematopoietic cell lineage","1/99",0.0484222365492711,0.156254166016251,0,0,22.5532879818594,68.2867582491043,"IL5RA"
"JAK-STAT signaling pathway","1/162",0.0781270830081257,0.156254166016251,0,0,13.6846100759144,34.8877982129325,"IL5RA"
"Cytokine-cytokine receptor interaction","1/295",0.138113686493952,0.184151581991936,0,0,7.44368858654573,14.7361074105084,"IL5RA"
"Pathways in cancer","1/531",0.23597056792882,0.23597056792882,0,0,4.07966457023061,5.89123225435831,"IL5RA"
