"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,8.84455508926609,0.256,0.002,0,"9","CD2"
0,8.53081414103564,0.283,0.002,0,"9","CD96"
0,8.51299612914938,0.324,0.003,0,"9","KLRK1"
0,7.91267046136674,0.39,0.006,0,"9","ZAP70"
0,6.2594993283164,0.333,0.014,0,"9","ACAP1"
0,6.15599000123721,0.262,0.009,0,"9","STAT4"
0,6.03992961636725,0.263,0.013,0,"9","TBC1D10C"
0,5.56739471306618,0.305,0.019,0,"9","ITGAL"
0,5.46129531090791,0.285,0.02,0,"9","CD69"
5.03946958758071e-322,5.26290976986433,0.255,0.017,8.74549552228757e-318,"9","TRAF3IP3"
1.68579549146418e-99,3.98305085072414,0.267,0.064,2.92552949588693e-95,"10","AC007906.2"
2.09533660060766e-34,2.429455115384,0.259,0.122,3.63624713669453e-30,"10","CD24"
9.862171664783e-35,2.15092114623108,0.338,0.191,1.71148127070644e-30,"10","MT-CO3"
8.33984435843477e-28,2.06986519000898,0.267,0.14,1.44729658996277e-23,"10","MT-ND4L"
1.86594303993148e-53,2.05912574881611,0.45,0.252,3.23815755149709e-49,"10","MUC1"
1.25829090472742e-09,1.63855642642655,0.254,0.193,2.18363803606397e-05,"10","PAX8"
7.68185335878118e-40,1.5759263216425,0.419,0.241,1.33310883188289e-35,"10","CLU"
6.40911928786181e-07,1.42334785925369,0.251,0.206,0.0111223856121554,"10","BHLHE41"
2.08928707471481e-23,1.4170020294093,0.406,0.281,3.62574878946009e-19,"10","ELF3"
1.44255586236692e-10,1.26439785467459,0.278,0.205,2.50341144355156e-06,"10","KRT7"
0,6.09537688258583,0.318,0.008,0,"11","CSPG4"
0,5.88200437528354,0.332,0.01,0,"11","GJC1"
0,5.77176317884832,0.405,0.019,0,"11","TBX2"
0,5.41522999131636,0.354,0.014,0,"11","ENPEP"
0,5.40705333324278,0.473,0.03,0,"11","CCDC102B"
0,5.14981782102707,0.338,0.019,0,"11","SEPTIN4"
0,4.86970166554707,0.442,0.023,0,"11","HEYL"
4.18693164800548e-317,4.80671353580807,0.259,0.014,7.2660011819487e-313,"11","GP1BB"
0,4.49375151762061,0.445,0.042,0,"11","PLXDC1"
0,4.38691587726733,0.701,0.088,0,"11","PDGFRB"
0,9.98887889464849,0.513,0.002,0,"12","TNS4"
0,8.81135146989478,0.598,0.007,0,"12","KRT15"
0,8.45874563646908,0.741,0.012,0,"12","KRT17"
0,8.27892833177786,0.473,0.007,0,"12","KRT5"
